id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1354,2,0,KRP,NA,NA,NA,"NA",NA,Canopy Cafe & Delivery,NA,NA,NA,"Toluca Lake, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1355,2,0,Sour D,NA,NA,NA,Sativa,NA,Slap Happy Meds,NA,NA,NA,", CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1356,2,0,Outdoor OG Kush,NA,NA,NA,Hybrid,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357,2,0,Royal Purple Diesel,NA,NA,NA,Hybrid,NA,Northern View Collective,NA,NA,NA,"Mt. Shasta, CA",NA,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1358,2,0,OG Skywalker,NA,NA,NA,Organi,NA,Northern View Collective,NA,NA,NA,"Mt. Shasta, CA",NA,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,2,0,Purple Dope,NA,NA,NA,Outdoo,NA,Slap Happy Meds,NA,NA,NA,", CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,2,0,Cerebral Synergy,NA,NA,NA,Hybrid,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,2,0,Phantom Cookies,NA,NA,NA,Hybrid,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1362,2,0,Greenwater OG,NA,NA,NA,Hybrid,NA,SD Meds,NA,NA,NA,"San Diego, CA",NA,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1363,2,0,Original OG,NA,NA,NA,Hybrid,NA,SD Meds,NA,NA,NA,"San Diego, CA",NA,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1364,2,0,813,NA,NA,NA,Hybrid,NA,SD Meds,NA,NA,NA,"San Diego, CA",NA,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,2,0,Lost Coast OG,NA,NA,NA,Hybrid,NA,Emerald Triangle,NA,NA,NA,"San Diego, CA",NA,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,2,0,B52 OG,NA,NA,NA,Hybrid,NA,GreenLeaf Healing Collective,NA,NA,NA,"Sherman Oaks, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,2,0,King Louis XIII OG,NA,NA,NA,Indica,NA,Eartheart of Long Beach,NA,NA,NA,"Long Beach, CA",NA,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368,2,0,Kobe OG,NA,NA,NA,Sativa,NA,Eartheart of Long Beach,NA,NA,NA,"Long Beach, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,2,0,Snow Goddess,NA,NA,NA,Hybrid,NA,303 Seeds,NA,NA,NA,"Groveland, CA",NA,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,2,0,Northern Lights/Sweet...,NA,NA,NA,Hybrid,NA,Northern View Collective,NA,NA,NA,"Mt. Shasta, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,2,0,Bubba Pre 98,NA,NA,NA,Indica,NA,High Class Genetics,NA,NA,NA,"San Clemente, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,2,0,AK47,NA,NA,NA,Hybrid,NA,High Class Genetics,NA,NA,NA,"San Clemente, CA",NA,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373,2,0,Super GDP,NA,NA,NA,Hybrid,NA,Hwy 138 Collective,NA,NA,NA,"Pear Blossom, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1374,2,0,138 OG,NA,NA,NA,Indica,NA,Hwy 138 Collective,NA,NA,NA,"Pear Blossom, CA",NA,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,2,0,Royal Queen,NA,NA,NA,Hybrid,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376,2,0,Very Berry,NA,NA,NA,Hybrid,NA,Green Hornet,NA,NA,NA,"Costa Mesa, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,2,0,Fire OG x Afghan Mango,NA,NA,NA,Hybrid,NA,GreenLeaf Healing Collective,NA,NA,NA,"Sherman Oaks, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
