id,name,slug,location,category,instagram
226,Canna Butter Delight,canna-butter-delight,CA,NA,NA
227,Canna Confections,canna-confections,AZ,"Edibles,",NA
228,Canna Herb Farms LLC,canna-herb-farms-llc,AZ,"Flower, Concentrates,",NA
229,Canna Nano CBD,canna-nano-cbd,CA,"Edibles,",NA
230,Canna Trading Co.,canna-trading-co,CA,"Concentrates, Vape Pens, Medical, Apparel,",NA
231,Canna-Rite,canna-rite,CA,"Vapes,",NA
232,Cannabeer (SPAIN),cannabeer-spain,CA,"Edibles,",NA
233,Cannabella,cannabella,NV,"Edibles,",NA
234,Cannabinade,cannabinade,CA,"Edibles,",NA
235,Cannabinique,cannabinique,CA,"Medical,",NA
236,Cannabinoid Creations,cannabinoid-creations,CA,NA,NA
237,Cannabinoid Water,cannabinoid-water,CA,NA,NA
238,CannaBioGen (SPAIN),cannabiogen-spain,CA,"Flower,",NA
239,Cannabiotix,cannabiotix,CA,"Flower, Concentrates,",NA
240,Cannabis by the Sea,cannabis-by-the-sea,CA,"Vapes,",NA
241,Cannabis Energy Drink,cannabis-energy-drink,CA,NA,NA
242,Cannabis Maximus,cannabis-maximus,CO,"Concentrates,",NA
243,Cannabisur (SPAIN),cannabisur-spain,CO,"Flower, Edibles, Medical,",NA
244,Cannabitz by MJ2 edibles,cannabitz-by-mj2-edibles,CO,"Edibles,",NA
245,Cannabliss Arizona,cannabliss-arizona,AZ,"Edibles,",NA
246,CannaClear,cannaclear,CA,"Concentrates,",NA
247,Cannacopia,cannacopia,CA,"Vapes,",NA
248,Cannadips,cannadips,CA,NA,NA
249,Cannaisseur,cannaisseur,CA,"Medical,",NA
250,CANNAKI Premium CBD Water,cannaki-premium-cbd-water,CA,"Edibles,",NA
251,CannaKids,cannakids,CA,NA,NA
252,Cannaliza (SPAIN),cannaliza-spain,CA,"Edibles,",NA
253,Cannamelo,cannamelo,CA,"Edibles,",NA
254,Cannamour,cannamour,CA,"Medical,",NA
255,CannaMX,cannamx,CA,"Concentrates, Vape Pens, Edibles,",NA
256,CannaPro,cannapro,CA,"Medical,",NA
257,CannaPunch,cannapunch,CO,"Edibles,",NA
258,Cannariginals Emu 420,cannariginals-emu-420,Ca,NA,NA
259,CannaSol,cannasol,WA,"Flower,",NA
260,Cannassentials,cannassentials,Or,"Flower,",NA
261,Cannatek (CANADA),cannatek-canada,British Columbia,"Vapes, Medical,",NA
262,CannAthlete,cannathlete,British Columbia,"Medical,",NA
263,Cannavis Syrup,cannavis-syrup,CA,"Edibles,",NA
264,Cannavore,cannavore,CA,"Edibles,",NA
265,CannaWine,cannawine,CA,"Edibles,",NA
266,Cannazen LLC,cannazen-llc,CA,"Medical,",NA
267,CannBucha,cannbucha,CA,"Edibles,",NA
268,Canndescent,canndescent,CA,"Flower,",NA
269,Cannsalus,cannsalus,CA,"Medical,",NA
270,Canyon Cultivation,canyon-cultivation,CO,"Edibles,",NA
271,CAPE,cape,CO,"Flower,",NA
272,Capsylls,capsylls,CO,"Medical,",NA
273,Captain Puffs,captain-puffs,CA,"Flower,",NA
274,Care By Design,care-by-design,CA,"Vapes, Medical,",NA
275,Caribbean Edibles,caribbean-edibles,CA,"Medical,",NA
276,CasaLuna,casaluna,CA,"Edibles,",NA
277,Cascade Crops,cascade-crops,CA,"Flower,",NA
278,CascadeHigh Organics,cascadehigh-organics,OR,"Flower,",NA
279,CASCADIA Herbalsâ„¢ Tinctures,cascadia-herbals-tinctures,OR,NA,NA
280,Cascadia Reserve,cascadia-reserve,CA,"Vapes,",NA
281,CBD Alive,cbd-alive,CA,"Medical,",NA
282,CBD BCN (SPAIN),cbd-bcn-spain,CA,NA,NA
283,CBD Crew (SPAIN),cbd-crew-spain,CA,"Flower,",NA
284,CBD Cure (UK),cbd-cure-uk,CA,"Concentrates, Edibles, Medical,",NA
285,CBD Drip,cbd-drip,CA,"Vapes, Medical,",NA
286,CBD for Life,cbd-for-life,AZ,NA,NA
287,CBD For The People,cbd-for-the-people,CA,NA,NA
288,CBD Fusion,cbd-fusion,CA,NA,NA
289,CBD Grind,cbd-grind,MI,"Edibles, Medical,",NA
290,CBD Hemp Indica,cbd-hemp-indica,MI,"Concentrates, Edibles, Medical,",NA
291,CBD Honey Stix,cbd-honey-stix,CO,"Edibles,",NA
292,CBD Luxe,cbd-luxe,MI,NA,NA
293,CBD MEDS,cbd-meds,MI,"Edibles,",NA
294,CBD NATURAL SOLUTIONS,cbd-natural-solutions,MI,"Medical,",NA
295,CBD Only Company,cbd-only-company,MI,"Concentrates, Edibles, Medical,",NA
296,CBD Tea,cbd-tea,CA,"Edibles,",NA
297,CBD Wellness,cbd-wellness,Az,"Edibles, Medical,",NA
298,CBD Xtreme,cbd-xtreme,California,"Concentrates, Edibles, Medical,",NA
299,CBDex Vitalhemp (SPAIN),cbdex-vitalhemp-spain,California,"Edibles,",NA
300,CBDistillery,cbdistillery,California,NA,NA
301,CBDREEM,cbdreem,CA,"Edibles,",NA
302,CEAS,ceas,CA,"Flower, Concentrates,",NA
303,CEID,ceid,CA,"Concentrates, Edibles,",NA
304,Certified Portland,certified-portland,Oregon,"Flower,",NA
305,Chalice Farms,chalice-farms,OR,"Flower, Edibles,",NA
306,Champ,champ,CA,NA,NA
307,Cheba Bakery,cheba-bakery,CA,NA,NA
308,Cheef Naturals,cheef-naturals,CA,"Edibles,",NA
309,Cherry Haze Medibles,cherry-haze-medibles,CA,NA,NA
310,CHIEF,chief,CA,"Flower,",NA
311,Chief Extracts,chief-extracts,CA,"Medical,",NA
312,Chill Bill Extracts,chill-bill-extracts,CA,"Concentrates,",NA
313,Chill Gum,chill-gum,CA,NA,NA
314,Choice Remedy,choice-remedy,CA,"Edibles, Medical,",NA
315,Chronic Candy,chronic-candy,CA,"Edibles, Medical,",NA
316,Chronic Desserts,chronic-desserts,CA,"Edibles,",NA
317,Chronic Extracts,chronic-extracts,CA,"Concentrates,",NA
318,Chronic Health,chronic-health,AZ,"Medical,",NA
319,Chronic Snob Genetics,chronic-snob-genetics,CA,"Flower, Edibles,",NA
320,Chronic Solutions,chronic-solutions,California,NA,NA
321,Chronik Fusions,chronik-fusions,CA,"Concentrates, Vape Pens, Medical,",NA
322,Chroniker Vapes,chroniker-vapes,CA,NA,NA
323,ChroniKookies,chronikookies,CA,"Edibles,",NA
324,Cibadol,cibadol,CA,"Concentrates, Medical,",NA
325,Citizen THC eCigar,citizen-thc-ecigar,CA,NA,NA
